item_number,description,uom,purchase_uom,uom_conversion,item_class,standard_cost,reorder_point,safety_stock,master_lead_time_days,primary_supplier_id,status,created_by,created_date,last_updated
MEC-00156,Gear Reducer 1HP,EA,EA,,Mechanical,35.02,34.0,30.0,54,SUP-031,ACTIVE,recvclerk,2020-04-05,2021-12-04
FAS-00157-A,3/4-11 x 1/2 SHCS GR5,EA,EA,,Fasteners,1.08,167.0,145.0,47,,ACTIVE,pmgr,2015-12-28,2020-06-28
FAS-00157-B,GR5 .75-11x.5 SHCS,EA,EA,,Fasteners,1.08,167.0,145.0,47,,ACTIVE,scoord,2019-04-20,2022-03-30
FAS-00157-C,.75-11x.5 SHCS GR5,EA,EA,,Fasteners,,167.0,145.0,47,SUP-039,ACTIVE,pmgr,2022-07-28,2022-10-03
FAS-00158,3/8-13 x 1/2 FHCS ZP,EA,EA,,Fasteners,0.24,35.0,33.0,75,SUP-027,ACTIVE,pmgr,2017-01-10,2020-05-01
HDW-00159,Cable Tie 3/16 ZP,EA,EA,,Hardware,1.38,340.0,268.0,31,SUP-041,ACTIVE,recvclerk,2017-05-08,2018-10-15
RM-00160,"316 Sheet Angle 1/2""",EA,EA,,MISC,17.17,45.0,38.0,30,SUP-012,ACTIVE,pmgr,2021-05-15,2021-12-08
CON-00161,Flap Disc 5GAL,EA,EA,,MISC,25.37,52.0,43.0,23,,ACTIVE,jbuyer,2016-04-18,2021-01-18
MEC-00162,Timing Belt 1HP TEFC,EA,EA,,MISC,52.07,1.0,2.0,44,SUP-031,ACTIVE,jbuyer,2020-05-06,2021-05-18
RM-00163,"316 Sheet Angle 1-1/2""",EA,EA,,MISC,52.34,2.0,3.0,22,SUP-012,ACTIVE,scoord,2019-05-21,2022-04-29
ELE-00164,Power Supply 25A,FT,SPOOL,,Electrical,0.0517,15.0,12.0,14,SUP-032,ACTIVE,jbuyer,2016-07-19,2020-01-25
FIT-00165,Ball Valve -8 JIC,EA,EA,,Fittings,26.39,101.0,77.0,72,SUP-028,ACTIVE,recvclerk,2015-10-06,2020-12-19
HDW-00166,Set Screw 1/2 ZP,EA,EA,,Hardware,1.99,253.0,200.0,53,SUP-039,ACTIVE,jbuyer,2017-08-14,2018-09-30
HDW-00167,Hex Nut 1/8,EA,BOX,,Hardware,0.4084,59.0,54.0,15,SUP-003,ACTIVE,pmgr,2019-01-15,2022-09-02
MEC-00168,Servo Motor 10HP,EA,EA,,Mechanical,26.59,89.0,63.0,49,SUP-001,ACTIVE,scoord,2018-01-12,2021-04-12
SVC-00169,Anodize Type II,EA,EA,,Outside Service,5.43,32.0,29.0,28,SUP-044,ACTIVE,scoord,2016-06-10,2022-08-23
MEC-00170,Gear Reducer 145T,EA,EA,,Mechanical,13.36,,5.0,19,SUP-013,ACTIVE,recvclerk,2020-10-11,2022-10-18
ELE-00171,Power Supply 25A UL,EA,EA,,Electrical,257.44,21.0,18.0,39,SUP-038,ACTIVE,kbuyer,2020-12-16,2022-10-24
MEC-00172,Coupling 1HP TEFC,EA,EA,,Mechanical,91.86,459.0,227.0,61,SUP-019,ACTIVE,scoord,2015-02-10,2022-03-24
CON-00173,Flap Disc 44LB 5GAL,OZ,GAL,,Consumables,0.032,14.0,8.0,7,SUP-028,ACTIVE,pmgr,2016-09-28,2021-01-14
MEC-00174,Servo Motor 145T,EA,EA,,Mechanical,138.15,,23.0,31,SUP-001,ACTIVE,jbuyer,2017-09-24,2021-07-01
RM-00175,"6061 Extrusion Beam 1/2""",EA,EA,,Raw Material,,210.0,209.0,70,SUP-012,ACTIVE,scoord,2017-11-29,2019-12-15
ELE-00176,VFD 24VDC,EA,EA,,Electrical,182.02,6.0,8.0,34,,ACTIVE,pmgr,2017-11-15,2022-06-05
SVC-00177,Passivation Blue,EA,EA,,Outside Service,2.58,5.0,3.0,13,SUP-005,ACTIVE,jbuyer,2016-01-27,2019-11-07
CON-00178,Flux Core Wire 44LB,EA,EA,,Consumables,4.37,48.0,56.0,36,SUP-004,ACTIVE,kbuyer,2020-11-13,2021-07-13
